station_name,location,datetime_local,scraped_at,aqi,aqi_category,main_pollutant,pollutant_density,temperature,humidity,wind_speed,pressure
ERASMUS HUIS DUTCH CULTURAL CENTER,"Indonesia, Jakarta, Jakarta","11.00, Mar 30 Waktu setempat",2026-03-30 04:09:45,99,Sedang,PM2.5,34.7 µg/m³,30°C,75%,7 km/h,1011 mbar
Jeruk Purut,"Indonesia, Jakarta, Jakarta","11.00, Mar 30 Waktu setempat",2026-03-30 04:10:12,94,Sedang,PM2.5,32 µg/m³,30°C,75%,7 km/h,1011 mbar
Cipete Selatan Asem II,"Indonesia, Jakarta, Jakarta","11.00, Mar 30 Waktu setempat",2026-03-30 04:10:40,84,Sedang,PM2.5,27 µg/m³,30°C,75%,7 km/h,1011 mbar
Cilandak Barat,"Indonesia, Jakarta, Jakarta","11.00, Mar 30 Waktu setempat",2026-03-30 04:11:02,90,Sedang,PM2.5,30 µg/m³,30°C,75%,7 km/h,1011 mbar
idsMED - JKT - Wisma 76,"Indonesia, Jakarta, Jakarta","11.00, Mar 30 Waktu setempat",2026-03-30 04:11:30,82,Sedang,PM2.5,25.8 µg/m³,31°C,70%,6 km/h,1012 mbar
Pakis,"Indonesia, Banten, South Tangerang","11.00, Mar 30 Waktu setempat",2026-03-30 04:11:57,79,Sedang,PM2.5,24 µg/m³,30°C,69%,4 km/h,1008 mbar
KJ.O,"Indonesia, Jakarta, Jakarta","11.00, Mar 30 Waktu setempat",2026-03-30 04:12:25,92,Sedang,PM2.5,31 µg/m³,30°C,70%,6 km/h,1012 mbar
The RBS - AirVisual Outdoor,"Indonesia, Jakarta, Jakarta","11.00, Mar 30 Waktu setempat",2026-03-30 04:13:17,94,Sedang,PM2.5,32 µg/m³,30°C,75%,7 km/h,1011 mbar
Graha LMU,"Indonesia, Jakarta, Jakarta","11.00, Mar 30 Waktu setempat",2026-03-30 04:13:44,151,Tidak sehat,PM2.5,56 µg/m³,30°C,75%,7 km/h,1011 mbar
Semanggi,"Indonesia, Jakarta, Jakarta","11.00, Mar 30 Waktu setempat",2026-03-30 04:15:40,81,Sedang,PM2.5,25 µg/m³,30°C,75%,7 km/h,1011 mbar
